month,smb,hml,umd,rf,rm,rmrf,SL,S2,S3,S4,SH,S2L,S22,S23,S24,S2H,M3L,M32,M33,M34,M3H,B4L,B42,B43,B44,B4H,BL,B2,B3,B4,BH
1997m4,-0.0174824,0.00523873,0.02614582,0.0049706463,0.0214263158,0.01645567,-0.01159802,0.00329001,-0.01054246,-0.00266389,0.01462841,0.02522469,-0.02003817,-0.00422879,0.01786151,0.01486717,-0.05577175,-0.0063192,0.00698184,0.01466283,-8.372e-05,-0.03241616,-0.02701782,-0.0493228,-0.01390217,0.02012272,0.05113406,-0.04127546,0.00773281,0.01140407,0.03354696
1997m5,-0.03461551,0.02006578,0.03133319,0.0050376465,0.0338606521,0.02882301,-0.00479542,-0.03048328,-0.01519108,-0.00332259,0.0082334,-0.03578783,0.00195889,0.0025668,0.01591694,-0.01821186,0.00053468,-0.00849531,-0.02443811,0.00701859,0.01074158,0.06243148,-0.03892607,-0.02370479,-0.00591203,0.01893904,0.02752116,-0.02893589,0.04020999,0.03090095,0.08481459
1997m6,-0.02402757,0.01391284,0.02038352,0.0051967899,-0.0038924048,-0.00908919,-0.05648848,-0.04148127,-0.02522215,-0.00952106,-0.01417568,-0.04927578,-0.00673703,-0.02223479,0.00787181,0.01716925,-0.01741611,-0.00301212,0.00053664,-0.02158042,0.00865169,-0.02792841,-0.00804388,0.00764232,0.00379782,-0.00586688,0.01042157,0.00981028,0.0137505,-0.00684939,0.02138658
1997m7,-0.05897541,0.01734457,0.02461214,0.0053727149,0.0505354642,0.04516275,-0.02467452,-0.01596904,-0.02112959,-0.02119055,-0.00062539,-0.0277571,-0.01642596,-0.0042102,-0.00742503,0.0131323,0.01308808,-0.00185382,-0.02931345,-0.02896195,0.03942735,0.03816922,-0.01165042,0.00472596,0.03436057,0.03092314,0.05031408,0.010409,0.0815981,0.0219673,0.10418999
1997m8,0.0393677,0.00481507,-0.0170447,0.0055905692,-0.0039920108,-0.00958258,0.05283225,0.0450832,0.04617034,0.03975213,0.0243677,0.06614653,0.06621956,0.07556915,0.0381645,0.01439319,0.02324833,0.02786294,0.04103352,0.02882936,0.03684975,0.021443,0.04709037,0.03827685,0.03108617,-0.0045228,-0.03425104,0.05195458,0.00236502,-0.00075536,0.02045091
1997m9,-0.02328342,-0.01750294,-0.00999152,0.0055738092,0.0810145517,0.07544074,0.04384812,0.02922359,0.04504733,0.03982725,0.04191505,0.01714426,0.02180798,0.00547732,0.03435935,0.03214466,0.04669612,0.06972832,0.06655597,0.06134688,0.09597801,0.01078803,0.04972182,0.07115396,0.02711091,0.0671236,0.10338549,0.0968739,0.07003722,0.04778495,0.04348529
1997m10,0.0331006,0.01383093,0.02844931,0.0055738092,-0.0647112744,-0.07028508,0.02582916,-0.01023305,0.0130457,-0.00841375,0.01935385,0.02822603,-0.01265175,-0.02381228,-0.02867319,-0.00710001,-0.04199226,-0.03914526,-0.04496191,-0.02144274,-0.08308158,-0.021634,-0.0412206,-0.06685081,-0.05007541,-0.01056073,-0.06575726,-0.0624368,-0.06575789,-0.02974398,-0.00406712
1997m11,-0.02206685,-0.00285998,0.00865554,0.0057581813,-0.0008995951,-0.00665778,-0.02652556,-0.01572099,-0.02362344,-0.02173629,-0.00634003,-0.00077555,-0.02202691,-0.02220593,-0.01888193,-0.01823361,0.04926347,-0.05244816,-0.05926128,0.00791209,-0.01234469,-0.00822787,0.00542929,-0.02047449,0.02783028,-0.01677261,0.02017767,-0.02520992,0.05142928,0.00525981,0.0080973
1997m12,-0.02052638,-0.0322026,0.04394267,0.0056576107,0.0555901552,0.04993254,0.04444787,0.01435015,0.01360759,0.00561633,0.01102833,0.04093173,-0.011817,0.01270385,0.04269549,0.00380229,0.00411319,0.0379565,0.0460295,0.02014581,0.01133204,-0.00564083,0.04805089,0.00934403,0.02250813,-0.00192119,0.09366178,0.00221217,0.0545053,0.04874,0.00746573
1998m1,-0.04332201,-0.02454948,0.10614595,0.0054397419,0.0527439049,0.04730416,0.05735106,0.02451786,0.02140231,0.01855809,0.00683106,0.05773141,0.03232928,-0.03594739,0.01661592,0.00110144,0.04237443,-0.05070737,-0.04513069,-0.02650617,0.00646379,0.05793264,0.00112018,-0.0171581,0.02134592,0.00620646,0.10561037,0.00657315,0.01833244,0.0778599,0.08967155
1998m2,0.0080347,-0.00758985,-0.01333361,0.0055821892,0.0593971296,0.05381494,0.06541658,0.04217969,0.04482426,0.02878354,0.03709949,0.03023238,0.03886787,0.04779127,0.01469831,0.12372355,0.07492877,0.04381809,0.07613143,0.06914921,0.13051348,0.02402321,0.05947966,0.05713729,0.08127366,0.04736252,0.05466693,0.05554451,0.06015487,0.05688107,-0.00859008
1998m3,0.02238407,0.02363676,0.00272488,0.0055905692,0.0426859205,0.03709535,0.05620073,0.08167014,0.06669668,0.07791328,0.05557716,0.08044898,0.0663539,0.08021993,0.02204272,0.05849672,0.07970362,0.089214,0.06078591,0.06121065,0.08918871,0.08019187,0.05990585,0.08528092,0.02593908,0.08858275,0.00985908,0.04285715,0.06566935,0.05432976,0.04099299
1998m4,0.00290217,-0.0026399,-0.01130474,0.0056576107,0.0047110623,-0.00094655,0.00397087,0.02267997,0.00760048,-0.00045017,0.00141353,-0.01772769,0.04672673,-0.02664462,-0.00491669,0.0099362,0.02604138,0.04523401,0.0153059,0.05224367,0.03395832,0.02972019,0.05155105,0.00833735,0.02018071,0.00016089,0.01296414,0.03258616,-0.0012232,0.00423327,0.01840046
1998m5,0.05001603,-0.00023591,0.01423404,0.0056743721,0.0063198867,0.00064551,0.07774648,0.06399135,0.08752768,0.03950422,0.05096439,0.0323035,0.06606453,0.06543214,0.08293125,0.0197164,0.05564048,0.04581149,0.06423338,0.03728576,0.07778798,0.05947588,0.03051023,0.02645185,0.04501623,0.02264999,-0.00874476,0.00532809,-0.0083334,0.00753217,-0.01493499
1998m6,-0.06130667,-0.00460274,0.04921313,0.0059342049,-0.0188206372,-0.02475484,-0.05335105,-0.05336918,-0.0547888,-0.06880583,-0.03465706,0.00964336,-0.12483662,-0.08901444,-0.01002993,-0.02768315,-0.01563823,-0.10316557,-0.10752635,-0.07870735,-0.08933655,0.00111356,-0.11178367,-0.06464787,-0.11149465,-0.04538486,0.05568884,-0.05527181,0.00933667,0.02888713,0.05501362
1998m7,-0.03880544,-0.02784954,0.05312242,0.0058839092,-0.0023971224,-0.00828103,-0.022961,-0.0587664,-0.05969365,-0.08585964,-0.0685056,-0.00729281,-0.06944775,-0.05983603,-0.04732637,-0.04879848,0.02852546,-0.00691012,-0.05856421,-0.05972619,-0.01659043,-0.01754336,-0.01828948,-0.07105029,-0.02233284,-0.04459422,0.00755355,-0.045954,0.01975523,0.03486641,0.01555425
1998m8,-0.04359075,-0.00925643,0.02358128,0.0058419982,-0.1038074594,-0.10964946,-0.14044169,-0.13187646,-0.0921291,-0.10146729,-0.10003641,-0.13147175,-0.12357604,-0.12911868,-0.19434716,-0.12766868,-0.14590556,-0.18620633,-0.18417571,-0.15812666,-0.13455195,-0.13142961,-0.12481498,-0.13294459,-0.13295114,-0.10837182,-0.04580768,-0.090636,-0.11504944,-0.10867668,-0.06103174
1998m9,-0.0449051,0.05127753,-0.04824716,0.005464878,-0.036998203,-0.04246308,-0.04906557,-0.09960023,-0.06162376,-0.07470713,-0.04116596,-0.15255097,-0.09071928,-0.13243656,-0.00274056,-0.02921187,-0.04153795,-0.03395246,-0.13977753,-0.09189639,0.02961152,-0.03055256,-0.10390184,-0.09743101,-0.09940593,-0.0283983,-0.07085185,0.04718949,-0.02046598,-0.03072478,0.07989504
1998m10,-0.03151061,0.01900481,-0.06108784,0.0053056924,0.069723283,0.06441759,-0.0178415,0.00122145,-0.00296355,0.00382146,-0.00580445,0.00524177,0.03744104,0.06883015,0.04352469,0.0377649,-0.05772095,0.08459817,0.10418029,0.14380803,0.10087735,-0.02088088,0.12243515,0.12653563,0.08996217,0.04596984,0.0875782,0.03491028,0.05030263,0.03880765,-0.01150528
1998m11,-0.0196054,-0.03440394,0.07332896,0.0050543972,0.0505354642,0.04548107,0.0660412,0.04633278,0.00875355,-0.00269245,0.02658367,0.06289121,-0.02540877,-0.05085901,0.08519822,0.01511372,0.07743216,-0.06776941,0.00544748,-0.01505518,0.0056898,0.07903216,0.04472077,0.00444938,-0.04018056,0.01445757,0.04669774,0.07535119,0.02764021,0.04635907,0.01172163
1998m12,-0.0101897,-0.06970478,0.07223305,0.0045436245,0.019181648,0.01463802,0.05234299,0.0037101,0.01734274,-0.00731734,0.00527304,0.03497807,-0.00568973,0.03194512,-0.01563256,-0.00865636,0.03554804,-0.08816347,-0.00507049,-0.05666623,-0.02218216,0.02906486,-0.00997147,-0.00401131,-0.03945911,-0.05485699,0.07998857,0.02057596,0.00453646,-0.0249768,-0.04210862
1999m1,0.02479726,-0.03487452,0.0145297,0.0042757817,0.0086370865,0.0043613,0.04025795,0.04392183,0.04050552,0.03532067,0.02602166,0.05586648,0.07132007,0.03760085,-0.00335879,0.04486954,0.06569921,0.12703027,0.00631011,-0.03136961,0.07480015,0.08801604,0.01168945,0.03309972,-0.02080357,-0.01436317,0.05268457,0.02879688,-0.0279309,-0.0104833,0.01950502
1999m2,0.03132584,0.01712497,-0.04105298,0.0040833142,0.0496953733,0.04561206,0.12107767,0.08432121,0.06601499,0.06742101,0.05977055,0.10362008,0.00510786,0.01071342,0.04564461,0.06935908,0.06683961,0.03225945,0.05108547,0.10740665,0.09462896,0.07399341,-0.01641722,0.05832492,0.11256056,0.1072115,0.0014752,0.06364535,-3.126e-05,0.00764736,0.1081431
1999m3,0.04305475,0.02459211,-0.03902526,0.0039912774,0.0308667987,0.02687552,0.02436354,0.04090942,0.08227699,0.04833119,0.06357282,0.05597996,0.11177078,0.07940058,0.05376138,0.13469007,-0.02563374,0.03241939,0.10326605,0.08367573,0.08538528,0.01104306,0.10381612,0.05384331,0.0218832,0.05223663,0.0404078,0.00373691,-0.01432341,0.01272665,-0.0045792
1999m4,0.03561436,0.1019367,-0.11019797,0.0039996439,0.0484364926,0.04443685,0.04087274,0.045154,0.09149399,0.09725639,0.0808676,0.04738384,0.06814817,0.02048731,0.09897936,0.12975684,0.00475406,0.04866911,0.08528472,0.16227304,0.13397803,-0.04685391,0.0590494,0.09472181,0.13062524,0.09741043,-0.06001761,0.06888576,0.05817795,0.0659669,0.08249861
1999m5,0.01401033,0.00439692,0.01112649,0.0040247443,-0.0443848417,-0.04840959,-0.01160696,-0.00774334,0.00016832,-0.00759071,0.00472892,-0.03088365,-0.00938099,-5.7e-05,-0.01701832,-0.05569758,0.00299039,-0.0423676,0.01882982,-0.04998176,-0.0239327,-0.02447552,-0.02161105,-0.03222755,-0.02567664,-0.01924774,-0.03436308,-0.04778383,-0.03928593,-0.00594644,-0.01215987
1999m6,0.01161153,0.01128975,0.00556448,0.00384069,0.0214263158,0.01758563,0.0370323,0.06881475,0.02574678,0.03206903,0.04247758,0.03834381,0.01443324,0.00575126,0.05581417,0.04296993,0.04037686,0.05766779,0.04552528,0.01400371,0.04549503,0.04222533,0.00951593,0.04426296,0.08221712,0.0688077,0.02132816,0.01492932,0.0156483,0.04447178,0.03890747
1999m7,0.04907501,-0.00603185,0.0239819,0.0039578117,-0.0063795635,-0.01033738,0.0623647,0.05988018,0.04356014,0.04213499,0.02801103,0.02516077,0.07370675,0.04060164,0.00312366,0.06250928,0.0762649,0.03083564,0.03905715,0.01511704,0.01113181,-0.02899914,0.04529613,0.00747376,0.04896356,0.02934725,-0.03815262,0.02572405,-0.02456712,-0.00438872,-0.00894919
1999m8,0.03187806,0.01279457,-0.02979126,0.0039494452,0.0088388338,0.00488939,0.01799694,0.04486523,0.03411727,0.04633377,0.03262047,0.03143185,0.04374684,0.01484282,0.0737141,0.04571974,-0.01955939,0.06811777,0.01497775,0.03768804,-0.01068085,0.03307549,-0.01509646,0.00285274,-0.03922308,0.01271351,0.01242905,-0.03523984,0.02266808,-0.00148834,0.02841899
1999m9,0.01727585,-0.05306601,0.01739799,0.0042172009,-0.0366129259,-0.04083013,-0.00081406,-0.05423927,-0.02433835,-0.03872681,-0.04136354,0.0413291,-0.02017351,0.00258325,-0.07027493,-0.05735683,0.001535,-0.01590326,-0.11326666,-0.10397657,-0.0321461,-0.00618393,-0.08170129,-0.08141396,-0.09543453,-0.06714591,-0.01683049,-0.05759188,-0.0555869,-0.05765006,-0.09022299
1999m10,-0.00758361,-0.09705798,0.04598211,0.004259044,0.0286013847,0.02434234,0.0506605,0.01741134,-0.01100156,-0.03244495,-0.02684926,0.0845384,-0.00348149,-0.04150276,0.0001077,-0.0552731,0.07515149,0.02824697,-0.03698202,-0.06772451,-0.01131612,0.10676171,-0.00839085,-0.05550708,-0.05447176,-0.02617209,0.04379656,0.06846536,0.01300793,-0.07382115,-0.0473552
1999m11,0.06421431,-0.17749656,0.15839447,0.0043008891,0.0642815817,0.05998069,0.25938048,0.1520521,0.08842528,0.01809173,0.01481125,0.2649588,0.10555007,0.00196831,0.08413055,0.00930177,0.33376657,0.21929564,0.05322331,0.04556155,0.03759954,0.32329425,0.06442624,0.07566731,0.06236145,-0.01347876,0.08562838,0.05843099,0.15735122,-0.0323795,0.01966941
1999m12,0.01350967,-0.04219196,0.10257912,0.004560367,0.051691689,0.04713132,0.23340647,0.14686827,0.09110994,0.04793666,0.02925373,0.19558234,0.06498058,-0.02933977,-0.06240742,0.02964185,0.02567028,0.01878238,0.00215989,-0.02573476,-0.00291108,0.11887037,0.09279712,0.02148698,0.01510112,-0.00922717,-0.0031402,0.06634958,0.10989799,0.05126657,0.08321778
2000m1,0.09790834,-0.10306514,0.070585,0.0046524559,-0.0815795646,-0.08623202,0.12344737,0.0675195,0.06452817,0.00046631,0.00032544,0.15610323,0.0474557,-0.03792395,-0.08550567,-0.09580814,0.02676944,0.00932001,-0.0132652,-0.10562301,-0.08366988,-0.03475008,-0.06008168,-0.05422946,-0.02133084,-0.10536455,-0.02851306,-0.13378609,-0.07140843,-0.09068441,-0.1429076
2000m2,0.07553458,-0.18607596,0.16044239,0.0047445533,0.0069238598,0.00217931,0.17745671,0.16344397,0.10519977,-0.00274178,-0.02552058,0.30034286,-0.02389654,-0.08436446,0.03841524,-0.06243403,0.22778715,0.12186765,-0.05216837,-0.0899649,-0.10720434,0.2847818,-4.143e-05,-0.02823024,-0.0769753,-0.09200514,0.04557364,-0.03531675,-0.04971706,-0.07046753,-0.03114129
2000m3,-0.09995517,0.09889092,-0.17926813,0.0047445533,0.0442511222,0.03950657,-0.06597863,-0.11825747,-0.06645158,-0.01910363,-0.00523758,-0.16750032,0.07270154,0.09655612,0.03531481,0.06981566,-0.12358867,-0.0472938,0.00551149,0.08573202,0.08910153,-0.09216374,-0.02288739,0.07773456,-0.01734014,0.10672754,0.05454568,0.09257241,0.01188087,0.06410258,0.18257226
2000m4,-0.06567943,0.11660999,-0.14914489,0.0048366591,-0.0328483776,-0.03768504,-0.18189476,-0.13248983,-0.06297181,-0.01062206,-0.00460106,-0.18286983,-0.13467651,-0.05308069,-0.0303927,0.02486515,-0.12839804,-0.10125843,0.0241969,0.04294448,0.00445346,-0.09097023,0.00842265,0.04325792,0.05752758,0.08331545,-0.02082147,-0.01392816,-0.01978691,0.00185475,0.03346661
2000m5,-0.04354602,0.09164516,-0.1221183,0.004752926,0.0068231726,0.00207025,-0.09366944,-0.04668545,-0.03495639,-0.00830289,0.02710458,-0.18988473,-0.0594869,0.03424555,-0.03024977,0.01646938,-0.07272402,-0.07059936,-0.02249115,0.05252049,0.00585051,-0.03482845,0.08384331,0.01800714,0.0128878,0.06326406,-0.0197808,-0.0032357,0.01166793,0.03955291,0.03322731
2000m6,0.04320674,0.00760184,0.03916488,0.0047445533,0.0053140697,0.00056952,0.10270284,0.09418602,0.11112379,0.02950093,0.06403557,0.08779462,0.0468729,0.04802543,0.11541966,0.02809454,0.07373273,0.08118508,0.03197404,0.00092976,0.05124884,0.06160956,0.07670024,0.03268337,0.045047,0.06191744,-0.00207605,-0.01505338,0.06067288,0.03124371,0.06297822
2000m7,0.01822574,-0.04176324,0.04347947,0.0047445533,0.0118698951,0.00712534,-0.00221268,0.02047066,0.01155182,0.02438412,0.00808828,0.12067799,0.02398029,0.01344963,0.00525903,-0.00307375,0.05885761,0.11395894,0.02283996,-0.00523296,-0.01395162,0.01928179,0.14337236,0.01471071,-0.00265346,0.00516592,0.02302835,-0.03560451,0.06529306,-0.01243403,-0.00389215
2000m8,0.02790986,-0.04059832,0.06469922,0.0047864186,0.0517968652,0.04701045,0.09908505,0.07285704,0.06011748,0.04376127,0.06391024,0.15547599,0.01405376,0.01963754,0.0091204,0.04825587,0.08487666,0.04888676,0.04125566,0.02210255,0.05075799,0.06126773,-0.01985899,0.03077265,0.01659626,0.00613441,0.04314897,0.04907504,0.08038507,0.0042356,0.01886998
2000m9,0.00037147,0.03674263,-0.01092599,0.0047110624,-0.0542717358,-0.0589828,-0.06182809,-0.01422389,-0.01428419,-0.02839907,-0.01221507,-0.11709362,0.00153867,-0.04841865,-0.03047165,-0.03506017,-0.0963961,-0.09368353,-0.00067401,-0.02955824,-0.0210248,-0.06761326,0.00387239,-0.0585731,-0.09525898,0.00207087,-0.01511161,-0.08940675,-0.1140344,-0.00377791,-0.02253742
2000m10,-0.05437952,0.11519734,-0.1063232,0.0047110624,0.0171453233,0.01243426,-0.07814893,-0.0442015,-0.06074883,-0.01765793,0.01064066,-0.14658231,-0.04013985,-0.04912793,0.01406591,0.01639714,-0.11822499,-0.04350376,-0.01821314,0.03981988,0.05133371,0.02287032,-0.00182875,-0.00052352,0.04408351,0.02501752,-0.04074971,-0.02523649,0.02837203,0.02063853,0.11710424
2000m11,-0.00505359,0.12287354,-0.10165718,0.0045938528,-0.0418970102,-0.04649086,-0.1009548,-0.08037832,-0.0403511,0.02133682,0.05096161,-0.19741075,-0.08460487,-0.04764948,0.02733264,0.04459866,-0.32568847,-0.15793929,-0.03418454,0.03854532,0.0767878,-0.19593892,-0.00651138,0.0490363,0.06263082,0.0633398,-0.09712979,-0.0081964,-0.03625409,-0.00080985,-0.11609761
2000m12,0.03022049,0.00298948,0.00774869,0.004560367,0.0149100623,0.0103497,0.07559301,0.02985103,-0.00890379,0.01855476,0.03529463,-0.07753561,0.03041346,0.00353686,0.03248847,0.08955974,0.10354309,0.02911707,-0.00328024,0.00188375,0.04495879,0.05022167,-0.0217427,-0.03213654,0.09174491,0.00525484,0.01048653,-0.00268257,-0.01595781,0.01686793,0.01546465
